ID,Yield
ID_F9XXEXN2ADR2,257.7
ID_SO3VW2X4QO93,257.9
ID_UKUQ7JM8E894,303.0
ID_QUISMWEZR2H4,294.9
ID_25JGI455VKCZ,328.4
ID_KQEAOXF3RPV6,252.4
ID_FSNZCPW9HTD2,502.9
ID_U2TOPOA0T40S,197.7
ID_XVQLSUKOT04J,648.0
ID_EAZAU6IW58PK,351.6
ID_WI17R25TC2VU,182.4
ID_OPR9MJWG40U7,645.6
ID_P9K9GAHC6FX6,315.9
ID_SCAOUCCTJ75Z,201.5
ID_MUP1OS8GZR5E,502.1
ID_WVBSZ9VBC9HE,306.4
ID_9MGH1WIKFBNB,296.8
ID_3M2O3EPOM18C,552.9
ID_K9MOR4N1FWIB,302.4
ID_VJPUPMSQARO5,723.2
ID_7WIMK3DXIU3Q,546.1
ID_6QXVH0EUS60J,540.0
ID_CA9GH6Q53A1Q,252.9
ID_94KO4EQ6TA3S,180.4
ID_2WH3AXUWRS2A,280.1
ID_LBS8TBC6QEF1,228.9
ID_Y3YARETW8RAP,534.2
ID_BY9JJAIKBRGP,270.3
ID_0U5AM482W1DE,338.7
ID_G0I28ORJC3OP,238.3
ID_Q34ED4EMSA3R,308.2
ID_LN3LXEG984XM,289.2
ID_0JTIPPYRJND0,480.4
ID_2MRD9I2X8UXB,269.1
ID_KH1FHLUW2T4X,214.3
ID_RFM5MWSIU1JX,230.2
ID_IAH2UTMDVU8F,172.2
ID_9SNP46T1GSJI,308.2
ID_DSQ9ISYFW4DB,188.7
ID_B8XYLC3NM6XD,374.2
ID_HOG9LK4CTN8K,254.2
ID_L3RTRS1QIY6D,248.8
ID_03QW4RBYQEBK,284.5
ID_ZJSYN3ZHXK5K,469.1
ID_UPRM76SZ7IJJ,297.7
ID_YB866N9RY5TU,323.7
ID_4H0KNHPKF9BK,239.6
ID_TOIT03A3WTTD,248.3
ID_4P7NKCB6LMJ5,301.1
ID_1TIMGZJLRLWF,313.7
ID_25E6065LQDON,354.6
ID_SOB9B3H12POE,469.1
ID_A8RF0GQGJF5H,438.9
ID_GT36LGF8SM8K,329.3
ID_E9OHGDA3U6DG,357.1
ID_HXWHLMRE99CE,483.3
ID_3VL9DLFRG5A3,253.0
ID_OKPI3DR2ZQPJ,195.0
ID_XZO6ECCAOC94,663.5
ID_4X2UWYR6RIE2,281.4
ID_1LVAHN6PZYBS,586.8
ID_HRAJFKTPCNWQ,707.5
ID_TK4H5NRKHOE8,252.6
ID_9U0UBT1J8152,297.9
ID_3EUKVYT37JOP,272.3
ID_1499QWPPW755,329.9
ID_ULWP3J0G860C,263.2
ID_51FSB3P7RO7F,280.8
ID_FHMVP6OM4GDX,534.8
ID_2OICAUFVUF5S,250.2
ID_ZGCFHIHAIC5U,284.1
ID_SR592R346POT,502.8
ID_IW7UUDAW8LI0,337.3
ID_UNWZCF6L3JHJ,322.6
ID_Z4FXX0BNPHCO,326.8
ID_T18YB26T1R72,295.1
ID_LXZWOINVI194,277.9
ID_QNQJS14C9JJR,701.6
ID_NTPIQUV3J2G6,450.5
ID_PVQOEEDTISZ0,395.6
ID_PNB65ASGG3U5,217.0
ID_KWPXATBZDX9T,346.4
ID_0G0F9TOR4IMI,522.0
ID_FVLMABW5Y6X2,500.1
ID_O2PL38IY50T5,347.1
ID_CNG8Z00FPPMP,477.0
ID_641DSHBH8JAF,591.3
ID_Y14QXUKOFJ4H,184.9
ID_DRP3WZV4BNIE,274.3
ID_TMXV7UW39T80,235.3
ID_0L8O49SS6MQM,275.3
ID_UGTG0XQELY2U,324.6
ID_0YZYA9AXL9Z2,244.4
ID_KNOK4V0IWVUO,344.2
ID_YX4DF17Z25RV,249.5
ID_2YAZXP3AEDVO,248.7
ID_YNACZPCVVI09,684.6
ID_75GYXJW1DYGX,246.1
ID_YRCMJRFRTU2K,280.3
ID_1L4WBTHTDQMP,333.1
ID_RO0XF0TFLRG6,295.6
ID_NJ7G0SAVDN1Q,315.6
ID_UFPM6MLG1BJK,223.7
ID_ULY51B6WQ9FV,511.8
ID_CR6L4TL2VEEM,269.5
ID_4YRSPS7X1V7Q,194.5
ID_ILQ5YE78E0SD,195.3
ID_WDNXY8YRA10N,244.5
ID_WYK6LRWQ21ML,304.8
ID_EBA4QUGDXB5I,670.3
ID_2WCWAKQKRA74,496.7
ID_FTSIEXKUER9Y,283.3
ID_64BCOW7PEP3E,209.5
ID_0N5TFB55JBOB,558.7
ID_9AE1OJ45UFJ3,319.9
ID_NJWAR6L7X4Q6,480.4
ID_W8U6J9PKGGGI,357.1
ID_WJUUIJMPNLHW,327.3
ID_S7F4L5OW7OKD,533.6
ID_Y0OX05BLLQPI,249.0
ID_XJ7ULGKCALNF,296.2
ID_8NU1PZBDI5C7,638.5
ID_CPPN31R20CBA,371.6
ID_D20Z6VEJBE6K,372.8
ID_N6RSTF2IR5GL,339.6
ID_DJBLGDPMS85M,199.2
ID_34J19EEKSSHY,348.8
ID_P8MQS1ERUQ9F,232.3
ID_U07HHH2EG6K1,568.2
ID_IKAOSO0CFKYZ,165.3
ID_NHQ2WMFGNBS1,241.9
ID_FRJ3P7XDG7OV,243.9
ID_5N0W8ZFFAIQX,282.1
ID_OFSHZ2KZ1LQ4,199.2
ID_A6C1G6XUATUE,346.3
ID_N99MP1180BJ5,212.1
ID_D5F8SLVPMZKE,172.4
ID_49QTISSSNQ0M,319.7
ID_S1WHDBHNKLYO,201.4
ID_9YE4VBW3W1WJ,292.7
ID_7SWZRG2B52YI,247.4
ID_41XNQZ8M4QXH,246.8
ID_SIB0PJZQMRBO,224.6
ID_M47IW492SXOP,223.7
ID_MTUJW5V02DWQ,520.6
ID_Y108HSDX00WC,659.5
ID_QRD8JCO8QWCF,205.0
ID_RIP1ZN0ST7I3,233.1
ID_BPS356NV28J7,475.4
ID_0KANA1KYEQKW,235.6
ID_80MMCWDS27VC,558.1
ID_CH1WWOXBV7L8,207.9
ID_PM7YZSDTN1OI,341.8
ID_FR4XH94DJW50,377.7
ID_D1IDORABBOBP,306.0
ID_0BE8BMWG3A68,297.4
ID_RY2QD5TLB4US,314.8
ID_S8D99RRNCOMC,492.9
ID_YZLW773BTIA3,251.0
ID_FL8VHWG97QTI,320.6
ID_JVLT86OR9T15,296.1
ID_NBSTAXAZ24X0,601.5
ID_43VRMQQ5E60F,309.4
ID_HI4ACMU7M13J,247.8
ID_UI96L3AE8YXY,312.5
ID_UXRI6OXKF50S,592.2
ID_FW06NS2YA7QW,275.5
ID_RA5OO0JVNOUF,328.1
ID_EVGU94YQTZWM,203.4
ID_GHANLFEJN9UW,348.9
ID_HXBFX8X2DD7B,545.7
ID_KUNLQSF5FM19,409.5
ID_7XXH76413XNT,358.3
ID_D58TIQKQLU7Q,239.6
ID_W5CLRPVGFRKH,342.6
ID_A3Y0OIB0BE59,298.5
ID_C74NLELOCNTS,529.6
ID_2FIGN89QV44C,410.6
ID_QN4PJSV2CGSJ,231.3
ID_V5W6AZBTURWA,276.4
ID_L6E0GOTVHSCD,314.3
ID_Q95BUWXK8RM3,220.3
ID_5TLXCFLTYF1F,230.2
ID_GLBHSYJG9S5B,500.3
ID_3X3YHRC7IIN9,305.3
ID_5H724YS64665,456.7
ID_U4Z5RN88FCZM,264.1
ID_05TGZGOMI6MF,310.4
ID_0GCZV8RUSZK6,336.8
ID_UV06K1FM1SB5,336.4
ID_RCJZ3PORBWFV,199.4
ID_W1NL5CU9VHQS,285.8
ID_2WIYFQHMJPYD,484.3
ID_BFFULEU6PVQ9,274.2
ID_JN31K11BXQ0E,305.7
ID_DS40FHVR9R7F,322.6
ID_DNOT9DTVZ6MQ,466.7
ID_Z58PO8MMX8YV,546.5
ID_NEYMBJKFHN1X,325.2
ID_RND7MNSA6LWV,278.1
ID_U407VXC7F9NZ,326.8
ID_ES753BBA75GB,229.4
ID_APRL4BTWWRW9,287.9
ID_S909ZPBZ39II,209.5
ID_YYFP9SWEV0U5,496.2
ID_25EBTESPBHGZ,490.5
ID_W0W8TG7XRWE3,176.0
ID_0FU2BPIOTMVD,273.7
ID_OF817VW3STNX,298.7
ID_7QATIJ9YSL1K,702.3
ID_LBPW7URC7BBW,337.1
ID_7WYQ81JCM9V3,373.7
ID_JGSVOGVN6522,307.4
ID_TOUB2GY1ZHXT,274.1
ID_9AJCTSUQG7FZ,329.3
ID_VKOZPEUVSDI8,376.4
ID_UG5GQ68S58OW,250.0
ID_4RB8XK2ZB1IR,464.1
ID_Z3P4T6K6P2ED,200.9
ID_VUGTKX63R5P0,346.1
ID_XMF3Q64FMLBK,218.2
ID_DTWCZ9G9C8WD,639.8
ID_0MNYHJUPIOIT,262.0
ID_ZGAL960JTO3R,299.0
ID_PK835TJNER3I,289.3
ID_KVGPYMSHB2WJ,255.9
ID_OWIQYP0I1HGW,500.0
ID_7RS2XDILJLBL,212.0
ID_EDCLK08NMF0N,325.6
ID_97Y87C3ANP5B,313.8
ID_D3SKVOTTB4KQ,195.2
ID_APFVFYM11UU0,682.4
ID_TAIVU9LHBYZ8,293.5
ID_NTR94XDRQIHZ,230.3
ID_8QCOFS2HXOJQ,261.9
ID_7ZZVZZH08UWF,336.1
ID_9NGVV4V11YU2,291.4
ID_5G8RKC18KLXV,321.2
ID_BSVRMHEKDQKD,307.2
ID_6Z12209FUIAT,453.2
ID_IRBHYP3G7UXU,288.2
ID_9PH4KNPDDVWS,501.8
ID_S4G0N1TJEDUG,194.1
ID_OP7NSDQGR6AE,241.4
ID_32RIU94UJDHI,533.0
ID_85WKQYHE0W5H,517.6
ID_2T4I23J42NUP,263.9
ID_LOJZM912S2TH,313.8
ID_FQAR45VD4PQ5,344.2
ID_RA4Y3ZL70BWO,611.0
ID_UH3QT7I1O24Q,166.4
ID_P9OZQ56CX2YO,239.7
ID_RB24VMV9FIGM,238.9
ID_XECRIM8DR00Z,611.0
ID_EYIQ79MA3T5E,465.7
ID_B0QBM2S1R9S7,247.7
ID_1L74BG9P0TKX,504.8
ID_141KG0TOOCJ6,463.2
ID_IMKLSNJKVI4P,240.0
ID_253P6J7D92PW,260.7
ID_PCC17RCZX06S,268.5
ID_7MUPVDZE1ZWB,691.7
ID_O994OZU1NP7E,329.3
ID_RFVKSMVILY31,255.9
ID_MTR7TTJ5LSBE,178.1
ID_87QM8DS5HSU7,499.3
ID_8KXPBLV53NZK,320.9
ID_LQVS4LC3YRMB,317.4
ID_ISVACTKT5MAA,320.8
ID_C64B9DUNSCM1,269.2
ID_ZXAE37OWUMFI,269.5
ID_L7Y4MKY66OSL,313.5
ID_TZ1FUOUR0Y8X,308.5
ID_D7HMR45HU1ZW,363.8
ID_UCZXI2H7S2YD,239.9
ID_7TU75PUQP312,647.6
ID_4ULCEP364DAF,319.9
ID_8EOY07K5LOC4,220.8
ID_NK47MAUWJ8Z5,343.3
ID_8ZCGIWU6GZLO,240.1
ID_SNIWSZ237UOD,215.3
ID_7LDSCZ2OPT0K,337.6
ID_TK2TH4JSJ1KB,151.6
ID_UUXFZKSR58SC,243.7
ID_EVACECC6XIW9,529.0
ID_U2LSES0Y4I3C,534.4
ID_NEGU2TDNC4Y0,226.9
ID_WCBHSOBP51H1,253.1
ID_SVRQ4NGZFMMP,505.5
ID_5TBBUKHYJ1KI,303.2
ID_4AOR8R30LNOD,255.9
ID_5XOUKBLNO7AC,314.3
ID_IQZTM1J018FS,476.9
ID_Q9VXX3O6IZOD,207.2
ID_HTEQD0S6QIB8,249.9
ID_0GFT8KE7O9RP,533.7
ID_SHFI8L6O4DQ3,458.9
ID_64MUBP88ECF6,238.9
ID_EHYBYH7QLOSL,245.0
ID_GTGEI6PS93QJ,599.2
ID_TL9C9OJ8G68U,225.7
ID_SM1GWL52K1F8,197.6
ID_DZW8R8ONEU66,247.3
ID_HBDA4P8811S8,535.3
ID_CJQOTSL074N8,368.3
ID_KZ0X60V9XQIG,731.9
ID_0TWFZTV06NYT,267.5
ID_PVJN35A46C0K,324.6
ID_D732BOTXBLSI,312.0
ID_342GB00NU2X8,371.2
ID_AQUL5HCLWJPM,611.0
ID_VU3938I1G9Z0,479.0
ID_Y2ZY2HDPU6PE,295.9
ID_SJD77GLF5ZFJ,314.6
ID_3T35R9QJBF2M,363.6
ID_NQUTMXXK59YN,294.5
ID_SV7AFMBC72LB,195.9
ID_PAPK30H37SIW,482.5
ID_URRQOVPPCBQ4,249.0
ID_CQPXYYK4KGB7,197.0
ID_RJIJXF4OS4RL,221.4
ID_APUXW8HC4K6B,533.4
ID_61Q9C9GGPHDI,722.7
ID_ZWZRMNC7OOCV,199.7
ID_IYKX7HR08L6A,313.2
ID_AIG281L5ZHU8,213.5
ID_NHUOZPKIO0BR,284.6
ID_LLYN4K7KIT4R,239.8
ID_0TSE5OLEV8WK,247.5
ID_H992DU9HM8DQ,177.8
ID_UK0CBXPBQ5RY,748.4
ID_RDPY3EBXFJ5O,587.7
ID_5L97TY473GY5,514.8
ID_5B1X9MC1IFX0,473.9
ID_ECWVAC40SNWB,479.7
ID_OE87AT5TAUEI,514.3
ID_XR12GEBM8H2K,518.6
ID_LJ2AP4BNL25Y,344.1
ID_LH311ABG9XDL,262.9
ID_HXONOBB4HD6T,704.3
ID_7AOOKABBB6N8,692.5
ID_Z17C9TLMF1MJ,220.0
ID_3PUBL95YQ1AF,498.5
ID_3RUIBILNO5TH,240.7
ID_9VMYZE08M98X,465.7
ID_6SDJYMNC1T2Z,387.9
ID_61DT371A8JKT,213.1
ID_R51LYLFQUFIL,325.1
ID_MJYLQ159US1Y,690.6
ID_QQHLY17D6RBD,495.3
ID_Y84JBGTU3NGV,270.9
ID_V8BHOZICY6IF,246.8
ID_DZ1R5TGC156F,289.3
ID_UQTR8CQ5LH50,596.5
ID_CK56LDNW1478,483.2
ID_QJGUBXWDDCRS,489.3
ID_H7YHR5OTSNS5,158.3
ID_8FRJCZZGLIRC,455.7
ID_U29DLWFB48GG,274.6
ID_W3OHI7MAVC24,194.1
ID_1ZY88AN5LZD4,251.9
ID_OC5EEB6B892L,509.2
ID_CMWPG2PIB75R,316.7
ID_NWEI411ITDHM,635.2
ID_G49PUGN2HFAD,236.0
ID_GSNP1IEZEQBC,247.3
ID_GJUS6RREHQ81,504.4
ID_7F8MCGYBVNP9,293.2
ID_0L3CDZHQMEW6,304.3
ID_WWW8P7C0BWWD,286.5
ID_K5SN27S6ODNO,501.9
ID_UFYYFX1MOUMV,367.9
ID_D0724QR6ZQQF,706.2
ID_PMSOXFT4FYDW,486.6
ID_SO7VGCA3U32O,221.0
ID_FRF1EVPIL6HX,529.9
ID_82CBKU1NDJ0V,485.4
ID_RX8DANVXO123,319.1
ID_ILC9A9DN5G2Z,465.5
ID_2GDKRWUIWI9Y,210.5
ID_RBQ5VAV4DJ5G,434.4
ID_UOQYVR79LGBI,330.3
ID_K6AD8QUXXR6Y,300.6
ID_J342KZ43X2VJ,318.6
ID_XPEQ4HVRRQX3,782.5
ID_AJUG34L464MU,293.3
ID_JF3KG0PYDKQF,746.6
ID_L9Y3DAFA0E72,417.6
ID_E6BGEQJGO571,180.6
ID_SP088I6KHJYU,246.8
ID_044M7JJ7F7ZH,548.5
ID_FWCKHCWUI2ZA,293.5
ID_RYVNAORY2187,243.1
ID_AKABUF8B09YM,467.5
ID_S2JJQXZHA1AS,321.2
ID_4QOOOG43P1EL,498.1
ID_X7Y0DSAFDFLN,453.6
ID_HBHBHNCY4HVH,340.4
ID_BD6WGXMV0N9M,335.4
ID_L96Q9Y8ZKZ8E,510.0
ID_THWRW6UMVR43,255.1
ID_BORVFDCCKT0H,476.2
ID_2L25K22ZLQPZ,344.0
ID_YUL27A9GYMND,404.6
ID_8MKACM85VSCS,765.7
ID_4060CUEUW7HI,246.8
ID_Q0SM7VK3YP8B,236.9
ID_KFDMKLKS776M,326.4
ID_JFSU9KK3JSCO,509.2
ID_YDVQY6M9SDE1,276.5
ID_24UQHTEAU2MZ,294.2
ID_SGZSFYIOBIN2,322.4
ID_JNBPHXXIFBMH,339.2
ID_ZDH7Q9PB2ZFC,230.4
ID_Z8L5CROZXDD9,638.0
ID_BFWA63TCREXQ,297.0
ID_M3DHWRLA56N4,533.4
ID_7QNMKE9U82HO,421.1
ID_75A7EFD9RIO4,182.1
ID_ZGRBK42R4LAE,340.7
ID_E69IMEJ5DN9Q,258.3
ID_9GU549TH7ZK3,556.1
ID_32IOWXYS1DUU,160.3
ID_055AL1ZL5ZQ3,206.9
ID_1D24WF1F56XL,274.5
ID_C8563RHWH4R1,270.5
ID_FWYXQF7RP0NA,315.1
ID_RUQF0NVO7GUP,205.0
ID_U51NJXF1ANRX,232.4
ID_52E5N2X6YPZC,235.9
ID_5605KFWD5KLI,317.5
ID_RP1T12JOZ0W5,340.5
ID_1NJF183VW7MV,210.8
ID_YBW0BLUZSB09,308.7
ID_EMWY1EBQA2OW,211.8
ID_PRZUQ2CC6YQL,500.0
ID_DR9MHVZLS2J3,410.7
ID_F9Z4KJ1ATXQX,335.0
ID_1IEQS1MMJVNU,596.5
ID_Y5OJFJ4ELKBO,542.0
ID_OYZLWHPXC232,196.4
ID_RIJPB9ZK7QMJ,245.3
ID_5YLAHA1RPCLZ,309.2
ID_7YD43YGQEHAG,148.5
ID_Z2128MPPJH3I,250.0
ID_6E9C80EV7UVB,334.7
ID_V292OF4LJFY6,298.6
ID_GZWEN5J0753A,372.6
ID_DZJI74TH27S2,331.4
ID_VB20G3017OT3,652.8
ID_PFR5TR9NSJ44,186.7
ID_CGEMGXF9GKAN,514.8
ID_UQN5YELSPFW4,303.2
ID_9KQ04PBVJQ2Z,308.2
ID_4XS5DB6R0W1W,712.8
ID_0LIP6T5ZSM47,476.6
ID_EKT3T87PW61E,241.5
ID_8APYWALBVJJG,411.4
ID_IZNAGRDXI416,260.2
ID_O8JW768V2WBT,520.1
ID_QB1EGGOG4PKU,266.2
ID_QL474TRJZ4KT,235.5
ID_JS00JMA9OC55,229.3
ID_KX93WT2WM8KI,287.0
ID_88T4KAWBOXD2,468.3
ID_AYEXJ449FHYB,155.1
ID_WAMWUG0WHB97,343.9
ID_MNSBZZRLVYAB,335.4
ID_NIO4I0V8DWYJ,239.4
ID_NIZWE5DL0ZEP,450.5
ID_9NCKQGLK3SD9,345.6
ID_5OSGLVZW9D29,644.0
ID_6XPJZR8ZCIC2,195.2
ID_IY0SP642OW24,276.2
ID_RIYH64Y97QRK,302.0
ID_XSP6B48LKWT8,327.0
ID_W753O33BW3BB,274.0
ID_RWJ0XTITY982,548.2
ID_EUEIBIX6TBO2,277.1
ID_WH5AACW8DNG9,217.3
ID_NKCHBHQGHFQJ,246.9
ID_55LF7DAPVUM9,370.7
ID_QCVF1IC80H55,303.3
ID_TTYI3X4FHRSK,327.3
ID_FAVZ1A7JE66Y,243.9
ID_K3QDY7VQTJ4Z,244.5
ID_SXVSUXY5UZAB,292.0
ID_5K5QDTT6M6RR,278.2
ID_LVWYORSZVO3S,245.6
ID_6ECLIA2352NF,177.5
ID_W9B36B5RXLXB,623.8
ID_FBND5TKBJU4V,214.8
ID_IEG1EPIW3QJE,296.4
ID_XBAKEC3FGVOI,230.1
ID_YX1YSBJPV00F,173.0
ID_CNJ0199EZ0Z5,161.8
ID_9HZRXVLF8O7Q,240.3
ID_N8DOGSGMLEEF,221.1
ID_QTT6DFO6C20M,235.9
ID_84TIYB63GU2Q,144.7
ID_I13964DD6KTD,304.9
ID_31NJ27Y0VJFL,241.8
ID_SFCM114U57TL,247.2
ID_JO7PGDO0GSL6,239.0
ID_GL342CDVL9P5,325.7
ID_89HGYIT9L72K,297.7
ID_GMN55BKSKYR7,587.3
ID_IPCZ9G8W2MEV,550.5
ID_YTTWCTKL25FS,494.1
ID_RXK77X7AJU1K,310.1
ID_7DF2UHVO2YDW,315.9
ID_S8ILQIMNR33S,501.9
ID_9CZKHNKM1I86,303.1
ID_QV0YP4S4M4EW,350.2
ID_6NW6LZZP4YSO,527.0
ID_11VV8EJUCW0H,572.6
ID_12B9ODTQEDJP,328.1
ID_O9F0DSRI883S,251.6
ID_UGZM1YTX1O1E,321.2
ID_K9QDUU90W0VF,289.1
ID_NSYRKSMPHBU1,308.7
ID_VTPNQBR81BM9,278.1
ID_39OMID9QCOG0,316.1
ID_1PEZ9AQEX5YZ,394.7
ID_KMV01O5FI1RE,243.3
ID_D8YY9UAL3DUU,501.0
ID_MK1LEGI0K09C,372.3
ID_SIGZ0JBXQGOV,168.8
ID_TVKRFN7WM03R,218.2
ID_0BEO9O1TBGD7,284.1
ID_0LAUIA0BNIC1,241.6
ID_J3ASN4NEHJWU,330.6
ID_E0C4Y5E20718,455.5
ID_42C9CZBA94GA,197.7
ID_YR8ZM2POXIMW,333.1
ID_CI5T4HTPFSD5,517.3
ID_A43CG1H8ISRO,276.1
ID_3CEHUW3S0G0K,476.8
ID_TXB3AVJR817F,323.0
ID_EARHOHWMJBZN,550.4
ID_3VLU0ZG4HZCJ,247.3
ID_BXY0XWQ3PB64,374.9
ID_QRR9XFG9T842,330.0
ID_EUX6TSC8JHCM,255.2
ID_QFOI09YR3VXI,264.1
ID_YV25FQOXZ8MV,184.5
ID_7FQESEUZAD3Z,272.1
ID_CNWL7DTP3YX4,212.2
ID_T55BT4VODB0E,220.3
ID_RV1AQV8A2YO5,474.8
ID_4LD71OA2HWJA,278.9
ID_MURY55Z0UGAN,324.6
ID_N2FMG5146H3F,250.7
ID_UTINEMLC3YZ8,231.6
ID_2YV5CPEX8PQX,484.1
ID_G04CAJF9PJPJ,212.2
ID_VQQC20SF8PFA,289.2
ID_XLERVZJLB89L,250.2
ID_55VQDPWDVUJN,558.4
ID_ZQ8CAFATMFQ4,156.6
ID_G0F3TN5NG6BH,240.5
ID_PF85WDFZ5SIC,238.4
ID_LPA096T2PA37,277.9
ID_TOJV71OD5IJA,260.1
ID_OC71Q8G1PU9X,288.0
ID_ALXWTRGLKYET,248.3
ID_L25QRS7Z1I48,341.4
ID_ZJX6UR06AOQN,203.4
ID_J18Z7G8MKNNW,482.5
ID_A1FRWN0WLOW3,358.2
ID_1WMN80LOMPYX,282.3
ID_PN8SLC70UAFU,325.6
ID_Y0VLNN9FFCDB,468.3
ID_KSNG2EHQWVN2,483.1
ID_6W3UCOWAIKFY,197.1
ID_SAMIPB6FVS35,375.9
ID_5XWLZR0M55MG,289.9
ID_XS38KEFXELD5,333.5
ID_59TDKRUHGJTU,281.7
ID_LA52IZ1MKC63,143.2
ID_HUS8E1K54UTE,286.7
ID_I13GK4NJXW16,546.5
ID_VNANLNWRQBB6,352.4
ID_S9RY48JU1EY7,513.8
ID_4STCBR16P9VP,477.7
ID_8975M70FEDGV,490.1
ID_DUBR80BZKU6Y,237.7
ID_MAEEJ3FRNXBQ,280.2
ID_H4AAIXVXUTIW,535.7
ID_9O8JMRL331Z1,186.8
ID_NGSCERQ2QDX4,227.2
ID_6LCF9GFNTUHP,266.7
ID_P1FUZAFI9H4Z,496.9
ID_98FVLR8JYSIK,539.4
ID_21Q3Q5YNLZZX,289.3
ID_PBBKRFRQIL4M,233.5
ID_XUQ4DJPJN922,310.4
ID_XN9SQO2E71Y5,309.1
ID_16EL4RBE07V4,341.1
ID_J9A3XKAY092U,233.0
ID_SI3U6TVMFSLR,604.3
ID_MZPNEAO40UOF,335.8
ID_JMOP4XUA0I7Z,247.6
ID_3K7O1OS7SC87,529.8
ID_1FKKC1Y469H8,351.4
ID_KLWMKKI8XBMZ,299.9
ID_INV1UN5XSNO4,277.2
ID_FCP0ZRWKWL2B,275.5
ID_L7DSNSBA5RQQ,227.7
ID_SECEK6SG1NI8,529.8
ID_ZZH6SDGIBPVQ,450.0
ID_NKCBC5AYF2O5,420.6
ID_HCUH5OSOLYNC,271.0
ID_P2YVKXAWU6J2,359.5
ID_H5DAKY1IT85H,632.8
ID_FN2NLEWDMB6D,219.2
ID_FQRTZI314E4V,552.5
ID_605VN4QHNIDI,225.2
ID_J9MMOAJFJ2J9,250.9
ID_2N51RJM7IWTE,318.1
ID_G7LKS3J2NRV9,298.9
ID_B75HPYZV9PLR,506.0
ID_IJFSC215A8T5,204.8
ID_XUJ8JAS1QTG5,374.6
ID_OC29SB0GECK9,314.0
ID_0ZW1XY8NZ5AA,344.2
ID_XUYVTZH1U6V5,330.5
ID_TUQ7O8VZEO8Q,619.2
ID_XL5X7DAJMM1B,284.6
ID_6GOHOWR9UQEB,260.5
ID_OSG7JPS4CTQ6,233.5
ID_TYWY3ZJA2J5I,641.3
ID_E8R8OU0PL6KU,461.4
ID_NVSZ1QLGBUT6,286.5
ID_B6DWB2FSMPKC,235.0
ID_P0UJZBSPVHUE,506.8
ID_O9LKW41W3CE6,183.4
ID_APVY0ZAA2T96,229.3
ID_DXH0G1YZBCCY,319.7
ID_50FMQ8VLWTYD,315.0
ID_MPXG6OFK28RA,483.1
ID_KO5Q9YHKSLDL,479.8
ID_5RN40WEWP1EL,486.9
ID_C22JIXZIZSL4,237.6
